Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity
Fortune Orange Rice 25kg,Rice,TY00224,,25kg,0,0,375,,1,0,1,0,1,,0
Diora 5kgx5,Rice,TY00226,,25kg,0,0,200,,1,0,1,0,1,,0
Diora Thai Rice 25kg,Rice,TY00225,,25kg,0,0,200,,1,0,1,0,1,,0
Kontomire,Spices,TY00227,,pcs,0,0,12,,1,0,1,0,1,,0
Oba Rice 22.5kg,Rice,TY00229,,22.5kg,330,4.5455,345,,1,0,1,0,1,,0
Oba Rice 4.5kg x5,Rice,TY00228,,5x5,320,4.6875,335,,1,0,1,0,1,,0
Red Fish Big,Meat\Fish,TY00230,,1kg,0,0,45,,1,0,1,0,1,,-7.2
Cindy Gold Rice 5kg,Rice,TY00231,,5kg,70.9,5.7828,75,,1,0,1,0,1,,0
Bella Rice Viet 22.5kg,Rice,TY00232,,22.5kg,320,6.25,340,,1,0,1,0,1,,0
Ruby Margarine,Oil,TY00233,,pcs,0,0,4.5,,1,0,1,0,0,,0
Viva Rice 5X4.5kg,Rice,TY00239,,5x4.5kg,0,0,335,,1,0,1,0,1,,0
Viva 4.5kg Rice,Rice,TY00240,,5kg,64,4.6875,67,,1,0,1,0,1,,0
Starlite Rice 50kg,Rice,TY00546,,50kg,0,0,310,,1,0,1,0,1,,0
Indomie 120G Box,Indomie,TY00241,,box,0,0,108,,1,0,1,0,0,,0
Indomie 70G Box,Indomie,TY00314,,box,0,0,75,,1,0,1,0,0,,0
Yellow Tail Big,Meat\Fish,TY00243,,kg,0,0,34,,1,0,1,0,1,,-4
Unoli Margarine 250G,Oil,TY00246,,pcs,0,0,0,,1,0,1,0,1,,0
Enapa Mackerel Red Ho 425G,Mackerel,TY00245,8852111003669,pcs,13.46,18.8707,16,,1,0,1,0,1,,-7
Lyzy Tin Tomato 210G,Tomato Paste,TY00247,,tin,0,0,6,,1,0,1,0,1,,0
Remie Beef Seasoning 10G,Spices,TY00248,6969228800141,pcs,0.7,0,1,,1,0,1,0,1,,-3
Remies 10G Jollof,Spices,TY00249,,pcs,0,0,1,,1,0,1,0,1,,0
Bennies Beef Powder,Spices,TY00252,,pcs,0,0,1.5,,1,0,1,0,1,,0
Onga 64X12G Beef Tablet Box,Spices,TY00253,,64x12g,0,0,32,,1,0,1,0,1,,0
